keyword,playlist_name,playlist_description,playlist_url,track_name,artist,artist_genres,track_url,song
总计数,,,,,,,197,
restaurant 计数,,,,,,,10,
restaurant,Restaurant Music 2025,Chill cooking dinner music. 2000s - 2025. Pop soul jazz restaurant playlist.,https://open.spotify.com/playlist/2UJd3dltnIGkMqhAbQSkbS,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,Pop soul jazz,https://open.spotify.com/track/0WQiDwKJclirSYG9v5tayI,
restaurant,RESTAURANT MUSIC 2025 🍽  chill covers & dinner songs,"Dine, mingle, lounge cocktails, beach bar, café, cooking… Set the background mood with relaxing bossa nova &amp; jazz versions of popular hits.",https://open.spotify.com/playlist/4lAmoS7H9HzPmelN7joKG6,Dancing In the Moonlight,Bossa Nova Covers,bossa nova,https://open.spotify.com/track/5MINUtX7hvYaaWwNRrp1hl,
restaurant,RESTAURANT MUSIC 2025 🍽  chill covers & dinner songs,"Dine, mingle, lounge cocktails, beach bar, café, cooking… Set the background mood with relaxing bossa nova &amp; jazz versions of popular hits.",https://open.spotify.com/playlist/4lAmoS7H9HzPmelN7joKG6,Sweet Child O' Mine,Bossa Nova Covers,bossa nova,https://open.spotify.com/track/2DHoF695nEPtbWMiqFeDTy,
restaurant,RESTAURANT MUSIC 2025 🍽  chill covers & dinner songs,"Dine, mingle, lounge cocktails, beach bar, café, cooking… Set the background mood with relaxing bossa nova &amp; jazz versions of popular hits.",https://open.spotify.com/playlist/4lAmoS7H9HzPmelN7joKG6,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Junity,bossa nova,https://open.spotify.com/track/1OlxI4JNTDvYQRiC9P2rHg,
restaurant,Chill Restaurant & Bar Vibes ,Nice mixture of music from many time eras! Throw it on and enjoy some nice upbeat rhythms as well as some good ol’ classics!,https://open.spotify.com/playlist/2sGIMIAs9jAZDvxSfaHWwc,Let's Groove,"Earth, Wind & Fire",disco,https://open.spotify.com/track/3koCCeSaVUyrRo3N2gHrd8,
restaurant,Chill Restaurant & Bar Vibes ,Nice mixture of music from many time eras! Throw it on and enjoy some nice upbeat rhythms as well as some good ol’ classics!,https://open.spotify.com/playlist/2sGIMIAs9jAZDvxSfaHWwc,Blame It on the Boogie,The Jacksons,"disco, motown, philly soul",https://open.spotify.com/track/3qI94hINNNeb4S7xQi18lS,
restaurant,DINNER JAZZ 🍷 Instrumental Jazz & Bossa Nova (Restaurant Music),dinner music smooth jazz trio piano background elegant fancy cocktail cafe bar hotel lounge elevator romantic chill night relaxed evening ⚠️ NO SOCIAL MEDIA ACCOUNTS ASSOCIATED WITH THIS PROFILE. BEWARE OF SCAMS!,https://open.spotify.com/playlist/1AOMaSEZf0aChEOK6L5uI3,All of Me,New York Jazz Lounge,"jazz, jazz funk",https://open.spotify.com/track/6MnNrEq5rIjkyg6cQKVORz,dinner music smooth jazz trio piano background 
restaurant,Dinner Jazz in the Background,Relaxed Dinner Jazz for RESTAURANTS or at home- elevate your dining experience with carefully selected soft instrumental Jazz and Bossa Nova,https://open.spotify.com/playlist/7MoymFSafE84j9nsKeCbzt,The Illusion That Remains,Melanie Monsoon,free jazz,https://open.spotify.com/track/1IBmTD4zganEIyaoiQEUG7,soft instrumental Jazz and Bossa Nova
restaurant,Dinner Jazz in the Background,Relaxed Dinner Jazz for RESTAURANTS or at home- elevate your dining experience with carefully selected soft instrumental Jazz and Bossa Nova,https://open.spotify.com/playlist/7MoymFSafE84j9nsKeCbzt,Espresso in the Rain,Liza Pirelli Jazztet,free jazz,https://open.spotify.com/track/2sFwQSBfmlyT4TSyDNOigp,soft instrumental Jazz and Bossa Nova
restaurant,Dinner Jazz in the Background,Relaxed Dinner Jazz for RESTAURANTS or at home- elevate your dining experience with carefully selected soft instrumental Jazz and Bossa Nova,https://open.spotify.com/playlist/7MoymFSafE84j9nsKeCbzt,Last Laugh Before Sunrise,Severin Sparkle Quartet,free jazz,https://open.spotify.com/track/3IeuYtHqSOjbjS9Bx4YZ8n,soft instrumental Jazz and Bossa Nova
cafe 计数,,,,,,,4,
cafe,French Cafe Lounge,"The Official French Cafe Lounge Playlist - Over 250,000 followers and growing every day! Send requests to: kamdiba@gmail.com",https://open.spotify.com/playlist/3x6xRt9FnSbfPbgiO6incZ,On saura pas,Presque Oui,french jazz,https://open.spotify.com/track/252y7cLUYBijSJo1Qd8Yap,
cafe,Lofi Coffee Shop (Lo-Fi Café Morning),"Best LoFi to sip your morning coffee to..Morning wake up jazzhop music, eat breakfast, AM focus, lofi hip hop to relax, focus, wake up, chill lofi jazz cafe lounge instrumental music",https://open.spotify.com/playlist/7K6fVGUcL6ChCsRMJP4oOC,Coffee Break,BƱBBLE,"lo-fi, lo-fi beats",https://open.spotify.com/track/7KZSejc5H3a21QAIjBKFlT,"chill lofi jazz, instrumental music"
cafe,Lofi Coffee Shop (Lo-Fi Café Morning),"Best LoFi to sip your morning coffee to..Morning wake up jazzhop music, eat breakfast, AM focus, lofi hip hop to relax, focus, wake up, chill lofi jazz cafe lounge instrumental music",https://open.spotify.com/playlist/7K6fVGUcL6ChCsRMJP4oOC,Sunrays,BƱBBLE,"lo-fi, lo-fi beats",https://open.spotify.com/track/5UVS5fZH4SFiraXFjVsgQ8,"chill lofi jazz, instrumental music"
cafe,soft café jazz (study),cafe vibes ☕*° (picture is not mine!),https://open.spotify.com/playlist/35Bwn7Kd5pcwqrowHkzWPw,Calm Office,Cafe Music BGM channel,"jazz, bossa nova",https://open.spotify.com/track/3UovYeip7j9lFxk3PqJLPd,
coffee shop 计数,,,,,,,6,
coffee shop,Cozy Coffee Shop ☕ Jazz in the Background,Soft instrumental Jazz for all your activities.,https://open.spotify.com/playlist/5vVSfOsF8YRueAI1dOI0Lh,I Know Too Well,Cozy Coffee Shop,jazz,https://open.spotify.com/track/0ZdiEMOfe2BXtNV319E8He,Soft instrumental Jazz 
coffee shop,Cozy Coffee Shop ☕ Jazz in the Background,Soft instrumental Jazz for all your activities.,https://open.spotify.com/playlist/5vVSfOsF8YRueAI1dOI0Lh,Ludlow,James Jackson Jazz Trio,jazz,https://open.spotify.com/track/2EhrFpsVC4rkiCf86AeVdv,Soft instrumental Jazz 
coffee shop,Lofi Coffee Shop (Lo-Fi Café Morning),"Best LoFi to sip your morning coffee to..Morning wake up jazzhop music, eat breakfast, AM focus, lofi hip hop to relax, focus, wake up, chill lofi jazz cafe lounge instrumental music",https://open.spotify.com/playlist/7K6fVGUcL6ChCsRMJP4oOC,Coffee Break,BƱBBLE,"lo-fi, lo-fi beats",https://open.spotify.com/track/7KZSejc5H3a21QAIjBKFlT," jazzhop music, lofi hip hop, chill lofi jazz, instrumental music"
coffee shop,Instrumental Coffee House Background Jazz Music,"Smooth, relaxing, easy listening background jazz for your coffee shop, café, lounge, cocktail bar background, sophisticated classy restaurant, relaxed gathering or personal chillout. Calm, soothing and uplifting.",https://open.spotify.com/playlist/2U5T5LfIhSZracgViCXajl,Calm Sunday Breakfast,Sunday Morning Jazz,jazz house,https://open.spotify.com/track/7nYIDwjVoOxpvitUd1BvzI,"Smooth, relaxing, easy listening background jazz, lounge, cocktail bar background, Calm, soothing and uplifting."
coffee shop,Instrumental Coffee House Background Jazz Music,"Smooth, relaxing, easy listening background jazz for your coffee shop, café, lounge, cocktail bar background, sophisticated classy restaurant, relaxed gathering or personal chillout. Calm, soothing and uplifting.",https://open.spotify.com/playlist/2U5T5LfIhSZracgViCXajl,Smooth Vibes and OJ,Sunday Morning Jazz,jazz house,https://open.spotify.com/track/0VJjNaIWzdhOkuPR1rUmZ8,"Smooth, relaxing, easy listening background jazz, lounge, cocktail bar background, Calm, soothing and uplifting."
coffee shop,Instrumental Coffee House Background Jazz Music,"Smooth, relaxing, easy listening background jazz for your coffee shop, café, lounge, cocktail bar background, sophisticated classy restaurant, relaxed gathering or personal chillout. Calm, soothing and uplifting.",https://open.spotify.com/playlist/2U5T5LfIhSZracgViCXajl,At Table,Sunday Morning Jazz,jazz house,https://open.spotify.com/track/4TavHya5nWxQJatzXDHwDv,"Smooth, relaxing, easy listening background jazz, lounge, cocktail bar background, Calm, soothing and uplifting."
dining 计数,,,,,,,7,
dining,PIANO COVERS 2025 🎹 relaxing versions of popular songs,"Famous hits, peaceful songs, pop music in a peaceful mix of calming instrumental remakes",https://open.spotify.com/playlist/2dFYbLO2e91eiXispfv616,Fix You,David Schultz,christmas,https://open.spotify.com/track/5UVh8KvLkObml6Je0mkEeC,"Famous hits, peaceful songs, pop music in a peaceful mix of calming instrumental remakes"
dining,Dinner Jazz in the Background,Relaxed Dinner Jazz for RESTAURANTS or at home- elevate your dining experience with carefully selected soft instrumental Jazz and Bossa Nova,https://open.spotify.com/playlist/7MoymFSafE84j9nsKeCbzt,The Illusion That Remains,Melanie Monsoon,free jazz,https://open.spotify.com/track/1IBmTD4zganEIyaoiQEUG7,soft instrumental Jazz and Bossa Nova
dining,Dinner Jazz in the Background,Relaxed Dinner Jazz for RESTAURANTS or at home- elevate your dining experience with carefully selected soft instrumental Jazz and Bossa Nova,https://open.spotify.com/playlist/7MoymFSafE84j9nsKeCbzt,Espresso in the Rain,Liza Pirelli Jazztet,free jazz,https://open.spotify.com/track/2sFwQSBfmlyT4TSyDNOigp,soft instrumental Jazz and Bossa Nova
dining,Dinner Jazz in the Background,Relaxed Dinner Jazz for RESTAURANTS or at home- elevate your dining experience with carefully selected soft instrumental Jazz and Bossa Nova,https://open.spotify.com/playlist/7MoymFSafE84j9nsKeCbzt,Last Laugh Before Sunrise,Severin Sparkle Quartet,free jazz,https://open.spotify.com/track/3IeuYtHqSOjbjS9Bx4YZ8n,soft instrumental Jazz and Bossa Nova
dining,Marilag - Dionela | Tibok - Earl Agustin,"Marilag - Dionela + Sining + Oksihina , Tibok - Earl Agustin , Sa Bawat Sandali - Amiel Sol ",https://open.spotify.com/playlist/6QGML12ABD7URNJ4BYMoCb,Marilag,Dionela,"opm, pinoy r&b, p-pop, harana, pinoy hip hop",https://open.spotify.com/track/2zbq6eS68i4NIJWekIuW1s,
dining,Marilag - Dionela | Tibok - Earl Agustin,"Marilag - Dionela + Sining + Oksihina , Tibok - Earl Agustin , Sa Bawat Sandali - Amiel Sol ",https://open.spotify.com/playlist/6QGML12ABD7URNJ4BYMoCb,tell the world you're mine,Shawn DC,pinoy rock,https://open.spotify.com/track/2LL1CFrwt79XNcnTZlcDfA,
dining,Marilag - Dionela | Tibok - Earl Agustin,"Marilag - Dionela + Sining + Oksihina , Tibok - Earl Agustin , Sa Bawat Sandali - Amiel Sol ",https://open.spotify.com/playlist/6QGML12ABD7URNJ4BYMoCb,you will never be mine,Shawn DC,pinoy rock,https://open.spotify.com/track/7KskTp9hJvMYXXaJ0ROl0N,
bistro 计数,,,,,,,7,
bistro,FRENCH 🇨🇵 BISTRO,"Play it, close your eyes and feel the genuine French bistro mood!🥂🍾🍽🪗",https://open.spotify.com/playlist/2m4XOon17aWfQj4EKvj0Fm,La Foule,Édith Piaf,"chanson, variété française, french jazz",https://open.spotify.com/track/6cvIJ1zOcshUv0yCtcphaG,
bistro,Bistro Jazz,"Restaurants, cafes, jazz",https://open.spotify.com/playlist/3zvutrdCZPNkEkujzvjB9S,The Lamp Is Low,Bill Henderson,"vocal jazz, jazz",https://open.spotify.com/track/5uX2tP62XY3HYIZ8YUrrV4,
bistro,Restaurant Lounge,"Elegant and relaxing lounge music to enhance dining experiences, from cozy bistros to chic cafes or retaurants.",https://open.spotify.com/playlist/6wFW9UeLgD9ZSgScgTjWUG,Riptide,Nimus,tropical house,https://open.spotify.com/track/0hGTas3kfFmq3dhNYg1rxW,Elegant and relaxing lounge music
bistro,Restaurant Lounge,"Elegant and relaxing lounge music to enhance dining experiences, from cozy bistros to chic cafes or retaurants.",https://open.spotify.com/playlist/6wFW9UeLgD9ZSgScgTjWUG,Heat Waves,SRTW,tropical house,https://open.spotify.com/track/0293i16I2FR1k4MYDy5PE7,Elegant and relaxing lounge music
bistro,⊱  ۫ ׅ ✧ Nicole | Bistro Huddy,art by @theradioromeo on TikTok !! | girlboss,https://open.spotify.com/playlist/7x9AEJZAGnBqNaGrFvgZ22,Get Back,Britney Spears,pop,https://open.spotify.com/track/59Xb5YkZ1AFrMD19T6cKr8,
bistro,Bistro,"“sip, savor, and say oui to our Bistro”",https://open.spotify.com/playlist/4u0OABZYXNdcATXnATChJ9,Shooting Star,Richard In Your Mind,"psychedelic pop, psychedelic rock",https://open.spotify.com/track/22Sy52Bp632GdFIDeJXFC4,
bistro,Bistro Lounge Music,The Finest Chic &amp; Cool Tempo Tunes,https://open.spotify.com/playlist/2JzLoOu4gExwmjKngnLosR,I'm Yours,Jason Mraz,"soft pop, acoustic pop",https://open.spotify.com/track/1EzrEOXmMH3G43AXT1y7pA,Cool Tempo Tunes
bar 计数,,,,,,,9,
